project_name,notice_type,region,notice_date,bid_description,sector_description,link
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,25-jun-2024,lantana eradication (new) 2023-24 (50% to 75% and 75% to 100%) for 40 ha.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297713
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,25-jun-2024,lantana eradication (new) 2023-24 (50% to 75% and 75% to 100%) for 40 ha.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297714
climate resilience multi-phase programmatic approach,contract award,none,25-jun-2024,"construction of retaining walls at stn 4+920 in lbmc, muthur division stage i","['other water supply, sanitation and waste management', 'other public administration', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297709
chad energy access scale up project,contract award,none,25-jun-2024,recrutement d'un consultant individuel pour l'élaboration du manuel de la stratégie de la communication en lien avec le mdgp sensible aux vbg,"['renewable energy solar', 'renewable energy biomass', 'public administration - energy and extractives', 'forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297710
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,25-jun-2024,construction of new mult cell box culvert along kilombero-ilangasika (18.86km) road geita dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297708
chad - refugees and host communities support project,contract award,none,25-jun-2024,acquisition des équipements pour les écoles construites dans les provinces du lac wadi fira et ennedi est,"['social protection', 'other water supply, sanitation and waste management', 'health facilities and construction', 'primary education', 'public administration - social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297704
climate smart irrigated agriculture project,contract award,none,25-jun-2024,procurement of 5000 nos parachute trays 100 nos reflective poly mulch rolls (400 x 1.2 m) 40 nos insect proof net (150 x 3 m) for agronomic interventions  programme in 2024 yala season - north central province - csiap,"['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297701
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,25-jun-2024,lantana eradication (new) 2023-24 (50% to 75% and 75% to 100%) for 40 ha.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297706
tanzania roads to inclusion and socioeconomic opportunities (rise) project,contract award,none,25-jun-2024,construction of two cells box culvert and gravelling works along mlanda-imwelu (10.68km) road in chato dc,"['rural and inter-urban roads', 'public administration - transportation', 'other transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297707
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,25-jun-2024,lantana eradication (new) 2023-24 (50% to 75% and 75% to 100%) for 40 ha.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297705
