project_name,notice_type,region,notice_date,bid_description,sector_description
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Construction of Rice Milling Shed for Eight (8no) Women Collectives in Agaie L G A in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Commercialization and De-Risking for Agricultural Transformation Project,Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,Recruiting consultant to carry out feasibility and detailed design study and supervision for rehabilitation and improvement of Nyarubogo marshland (150ha),"Public Administration - Agriculture, Fishing & Forestry,Irrigation and Drainage,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities"
Smallholder Agriculture Development Project - II,Contract Award,Eastern And Southern Africa,18-Jun-2024,Engagement of individual consultant to preform Project Field Officers duties in Berea District,"ICT Services,Agricultural markets, commercialization and agri-business,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry"
Regional Sahel Pastoralism Support Project II,Contract Award,Western And Central Africa,18-Jun-2024,Mobiliers de bureaux pour les antennes et pou l'UCP,"Social Protection,Workforce Development and Vocational Education,Livestock,Public Administration - Agriculture, Fishing & Forestry,Other Water Supply, Sanitation and Waste Management"
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,18-Jun-2024,Data Collection: Enumerators (PHC),Other Public Administration
Benin Vocational Education and Entrepreneurship for Jobs Project,Contract Award,Western And Central Africa,18-Jun-2024,"Acquisition d'outils et d'équipements pour les programmes destinés à la conception, réalisation et production cinématographique","Workforce Development and Vocational Education,Public Administration - Education,Other Industry, Trade and Services"
Climate-Resilient and Inclusive Livelihoods Project (ProClimat Congo),Contract Award,Western And Central Africa,18-Jun-2024,Acquisition de cinq (05) véhicules 4X4 au profit de l'UGP,"Other Public Administration,Sub-National Government,Public Administration - Agriculture, Fishing & Forestry"
Connecting Madagascar for Inclusive Growth,Contract Award,Eastern And Southern Africa,18-Jun-2024,RECRUTEMENT VBG PCMCI-RN31 pour 05 ans,"Rural and Inter-Urban Roads,Public Administration - Transportation"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,18-Jun-2024,Contratación de Especialista Social,"Health Facilities and Construction,Public Administration - Health,Health"
"Tertiary Education, Science, and Technology Project (TEST)",Request for Expression of Interest,Eastern And Southern Africa,18-Jun-2024,"Contratação de consultoria para a elaboração do modelo de financiamento do subsistema do ensino superior, incluindo a respectiva proposta do diploma legal.",Tertiary Education
Madagascar National Water Project,Invitation for Bids,Eastern And Southern Africa,18-Jun-2024,Acquisition des matériels de pré-positionnement pour les réponses d'urgences WASH dans les zones à risques.,"Sanitation,Water Supply,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Madagascar Basic Education Support Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Achats de logiciels et licences,"Early Childhood Education,Primary Education"
Madagascar Basic Education Support Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,Achats de logiciels et licences,"Early Childhood Education,Primary Education"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Construction of Rice Milling Shed for Six (6no) Women Collectives in Wushishi L G A in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Ghana Economic Transformation Project,Request for Expression of Interest,Western And Central Africa,18-Jun-2024,CONSULTANCY SERVICES FOR THE DEVELOPMENT OF STANDARD OPERATING PROCEDURES (SOPs) FOR THE GHANA INVESTMENT PROMOTION CENTRE (GIPC),"Other Industry, Trade and Services,Public Administration - Industry, Trade and Services"
"De-risking, inclusion and value enhancement of pastoral economies in the Horn of Africa",Contract Award,Eastern And Southern Africa,18-Jun-2024,"Recrutement d’un cabinet (juriste + vétérinaire) pour la révision de la législation en vétérinaire, hygiène et transformation (mise en vigueur, décrets d’application, etc.)","Other Non-bank Financial Institutions,Livestock,Agricultural markets, commercialization and agri-business"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Construction of Ground Nut Processing Shed for Eight (8no) Women Collectives in Agaie/Wushishi LGAs in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Tajikistan Socio-Economic Resilience Strengthening Project,Contract Award,Europe And Central Asia,18-Jun-2024,"Geological reference of subproject SERSP-1A-103 to SERSP-1A-133, SERSP-1A-131, of  SERSP-1A-105 to SERSP-1A-143, of SERSP-1A-101 to SERSP-1A-139, SERSP-1A-142, of SERSP-1A-111 to SERSP-1A-145.","Social Protection,Sub-National Government,Public Administration - Social Protection"
Cote d'Ivoire Youth Employment and Skills Development Project - Phase 3,Request for Expression of Interest,Western And Central Africa,18-Jun-2024,Recrutement d’un Consultant firme pour l’élaboration d’un Cadre National de Certification (CNC) au niveau de la formation professionnelle,"Social Protection,Public Administration - Education,Workforce Development and Vocational Education"
OECS Data for Decision Making (DDM) Project,Contract Award,Latin America And Caribbean,18-Jun-2024,"Agriculture census  supervisors(quantity-26)
The survey supervisors will facilitate the agriculture census.",Other Public Administration
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,"Procurement, and installation of Rice Milling Machines and other items for three (3 Nos) Collectives in Takum LGA, Taraba State.","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
"De-risking, inclusion and value enhancement of pastoral economies in the Horn of Africa",Contract Award,Eastern And Southern Africa,18-Jun-2024,Recrutement d'un cabinet pour la réalisation de l'étude de situation de référence du projet,"Other Non-bank Financial Institutions,Livestock,Agricultural markets, commercialization and agri-business"
Competitiveness and Sector Diversification,Contract Award,Latin America And Caribbean,18-Jun-2024,Procurement Specialist,"Agricultural markets, commercialization and agri-business,Tourism,Capital Markets,Mining,Other Industry, Trade and Services,Public Administration - Industry, Trade and Services"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Batch A Procurement and Installation of Groundnut Processing Equipment and Accessories for (4 No.) collectives in Takum LGA in Taraba State. Lot 1-4,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Abidjan Urban Mobility Project,Request for Expression of Interest,Western And Central Africa,18-Jun-2024,Sélection d'une ONG pour la mission de mobilisation des parties prenantes et l’accompagnement social des personnes affectées dans le cadre du projet,"Urban Transport,Public Administration - Social Protection,Social Protection"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,18-Jun-2024,CONSULTANCY SERVICE FOR THE RE-ENGAGEMENT OF TECHNICAL ASSISTANT FOR SECURITY SPECIALIST,"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
National Agriculture Development Program,Contract Award,Eastern And Southern Africa,18-Jun-2024,Recrutement d'un Comptable National du PNDA,"Other Agriculture, Fishing and Forestry,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Batch A Procurement and Installation of Groundnut Processing Equipment and Accessories for (4 No.) collectives in Takum LGA in Taraba State. Lot 1-4,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Procurement and installation of Groundnut Processing Equipment and accessories for (6No.) Collectives in Bali L.GA. Taraba State. Lots 1-6,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Procurement and installation of Groundnut Processing Equipment and accessories for (6No.) Collectives in Bali L.GA. Taraba State. Lots 1-6,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,18-Jun-2024,Contratación de Consultoria Individual Especialista Senior de Finanzas del Proyecto (3CV),"Health Facilities and Construction,Public Administration - Health,Health"
Nigeria For Women Project,Contract Award,Western And Central Africa,18-Jun-2024,Supply and Installation of Rice Milling Equipment and Accessories for Eight (8no) Women Collectives i n Agaie L G A in Niger State.,"Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Livestock and Fisheries Sector Development Project,Contract Award,Eastern And Southern Africa,18-Jun-2024,"procurement of construction materials which includes ( cement ,galvanized iron sheet, nails , mesh wire, door and window for  Dinsho woreda established cooperatives of intermediate sub projects","Livestock,Public Administration - Agriculture, Fishing & Forestry,Agricultural markets, commercialization and agri-business,Agricultural Extension, Research, and Other Support Activities,Fisheries"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,18-Jun-2024,Consultancy Services for preparation of ESMP for physical improvement of 2No. Agrologistic Centres (ALCs),"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
